Mida;Cost;Desviacio
1000;8,133000;5,446954
2000;13,619000;8,721917
3000;13,755000;8,976059
4000;14,537500;9,233558
5000;20,380800;15,031946
6000;24,269833;17,570184
7000;31,635429;24,189093
8000;36,284000;27,291914
9000;44,573444;34,439863
10000;48,852798;36,951962
11000;56,963181;44,083279
12000;60,776417;45,915731
13000;69,205002;53,469845
14000;71,907860;54,661473
15000;80,399734;61,999237
16000;83,779816;63,278323
17000;92,869705;70,967759
18000;95,031670;71,226127
19000;103,868843;78,829829
20000;104,769348;78,999816
21000;100,243523;79,406903
22000;95,707771;80,297706
23000;93,956825;80,109475
24000;90,094582;78,987212
25000;87,832840;78,224002
26000;85,525574;77,246215
27000;85,216148;76,873294
28000;83,785004;75,017977
29000;82,300446;73,396143
30000;82,540131;72,942486
31000;81,703674;71,372346
32000;82,659187;71,010974
33000;82,715027;70,041377
34000;82,928856;69,403287
35000;83,266655;68,536453
36000;84,997414;68,561550
37000;84,619026;67,562568
38000;85,679398;67,516056
39000;86,139664;66,974247
40000;87,366501;67,146823
41000;88,304001;66,845951
42000;89,536598;67,167018
43000;90,864304;67,068796
44000;92,691048;67,846018
45000;93,905113;67,893101
46000;96,487823;68,626230
47000;98,436150;69,325584
48000;99,864754;70,190501
49000;101,910004;71,159438
50000;104,965919;72,086652
